Permission,org-admin,shop-admin,resource-mgr,coach,accountant,Module
academies.create,,,,,,academies
academies.delete,,,,,,academies
academies.edit,,,,,,academies
academies.enroll,Allow,,,,,academies
academies.evaluate,,,,,,academies
academies.view,,,,,,academies
academy.create,,,,,,academy
academy.dashboard.view,,,,,,academy
academy.delete,,,,,,academy
academy.enroll,,,,,,academy
academy.manage,,,,,,academy
academy.publish,,,,,,academy
academy.self_enroll,,,,,,academy
academy.update,,,,,,academy
academy.view,,,,,,academy
accounting.coa.manage,,,,,,accounting
accounting.coa.view,,,,,,accounting
accounting.dashboard,,,,,,accounting
accounting.gl.view,,,,,,accounting
accounting.invoices.manage,,,,,,accounting
accounting.invoices.view,,,,,,accounting
accounting.journal.create,,,,,,accounting
accounting.journal.view,,,,,,accounting
accounting.periods.manage,,,,,,accounting
accounting.periods.view,,,,,,accounting
accounting.tax.manage,,,,,,accounting
accounting.tax.view,,,,,,accounting
admin-academies.view,,,,,,admin-academies
admin-coaches.view,,,,,,admin-coaches
admin-events.view,,,,,,admin-events
admin-tournaments.view,,,,,,admin-tournaments
admin.bookings.update-status,,,,,,admin
admin.bookings.view,,,,,Allow,admin
admin.branch-access.approve,,,,,,admin
admin.branch-access.reject,,,,,,admin
admin.branch-access.view,,,,,,admin
ads.create,,,,,,ads
ads.delete,,,,,,ads
ads.edit,,,,,,ads
ads.edit.content,,,,,,ads
ads.edit.end-date,,,,,,ads
ads.edit.image,,,,,,ads
ads.edit.link,,,,,,ads
ads.edit.placement,,,,,,ads
ads.edit.start-date,,,,,,ads
ads.edit.status,,,,,,ads
ads.edit.title,,,,,,ads
ads.view,,,,,,ads
amenities.create,,,,,,amenities
amenities.delete,,,,,,amenities
amenities.edit,,,,,,amenities
amenities.edit.description,,,,,,amenities
amenities.edit.icon,,,,,,amenities
amenities.edit.name,,,,,,amenities
amenities.edit.status,,,,,,amenities
amenities.view,,,,,,amenities
app-settings.edit,,,,,,app-settings
app-settings.edit.domain-name,,,,,,app-settings
app-settings.edit.favicon,,,,,,app-settings
app-settings.edit.favicon-dark,,,,,,app-settings
app-settings.edit.maintenance-mode,,,,,,app-settings
app-settings.edit.meta-description,,,,,,app-settings
app-settings.edit.pwa-images,,,,,,app-settings
app-settings.edit.site-logo,,,,,,app-settings
app-settings.edit.site-logo-dark,,,,,,app-settings
app-settings.edit.site-name,,,,,,app-settings
app-settings.edit.site-tagline,,,,,,app-settings
app-settings.edit.splash-image,,,,,,app-settings
app-settings.edit.splash-image-dark,,,,,,app-settings
app-settings.edit.support-email,,,,,,app-settings
app-settings.view,,,,,,app-settings
appearance.role-customize,,,,,,appearance
appearance.role-customize.save,,,,,,appearance
attendance.manage,,,,,,attendance
audit.export,,,,,,audit
audit.revert,,,,,,audit
audit.view,,,,,,audit
bank-branches.create,,,,,,bank-branches
bank-branches.delete,,,,,,bank-branches
bank-branches.edit,,,,,,bank-branches
bank-branches.edit.address,,,,,,bank-branches
bank-branches.edit.bank,,,,,,bank-branches
bank-branches.edit.code,,,,,,bank-branches
bank-branches.edit.name,,,,,,bank-branches
bank-branches.edit.phone,,,,,,bank-branches
bank-branches.edit.status,,,,,,bank-branches
bank-branches.view,,,,,,bank-branches
banks.create,,,,,,banks
banks.delete,,,,,,banks
banks.edit,,,,,,banks
banks.edit.code,,,,,,banks
banks.edit.name,,,,,,banks
banks.edit.status,,,,,,banks
banks.view,,,,,,banks
bi.dashboard.view,,,,,,bi
bi.export,,,,,,bi
bi.kpi.view,,,,,,bi
bi.observability.view,,,,,,bi
bookings.admin-view,Allow,,Allow,,,bookings
bookings.apply,Allow,,Allow,,,bookings
bookings.cancel,Allow,,Allow,Allow,,bookings
bookings.create,Allow,,Allow,Allow,,bookings
bookings.create.addon-services,Allow,,Allow,Allow,,bookings
bookings.create.date,Allow,,Allow,Allow,,bookings
bookings.create.duration,Allow,,Allow,Allow,,bookings
bookings.create.end-time,Allow,,Allow,Allow,,bookings
bookings.create.notes,Allow,,Allow,Allow,,bookings
bookings.create.participants,Allow,,Allow,Allow,,bookings
bookings.create.resource,Allow,Allow,Allow,Allow,,bookings
bookings.create.start-time,Allow,,Allow,Allow,,bookings
bookings.manage-applicants,Allow,,Allow,,,bookings
bookings.view,Allow,,Allow,Allow,Allow,bookings
branches.create,Allow,,,,,branches
branches.delete,Allow,,,,,branches
branches.edit,Allow,Allow,,,,branches
branches.edit.access-type,Allow,,,,,branches
branches.edit.address,Allow,Allow,,,,branches
branches.edit.amenities,Allow,,,,,branches
branches.edit.bank-account,Allow,,,,,branches
branches.edit.basic,Allow,Allow,,,,branches
branches.edit.cancellation,Allow,,,,,branches
branches.edit.closing-hours,Allow,,,,,branches
branches.edit.email,Allow,Allow,,,,branches
branches.edit.financial,Allow,,,,,branches
branches.edit.holidays,Allow,,,,,branches
branches.edit.name,Allow,Allow,,,,branches
branches.edit.opening-hours,Allow,,,,,branches
branches.edit.phone,Allow,Allow,,,,branches
branches.edit.status,Allow,Allow,,,,branches
branches.edit.tax-id,Allow,,,,,branches
branches.edit.timezone,Allow,,,,,branches
branches.request-access,Allow,,,,,branches
branches.view,Allow,Allow,,,,branches
brands.create,,,,,,brands
brands.edit,,,,,,brands
brands.edit.country,,,,,,brands
brands.edit.description,,,,,,brands
brands.edit.logo,,,,,,brands
brands.edit.name,,,,,,brands
brands.edit.slug,,,,,,brands
brands.edit.sort-order,,,,,,brands
brands.edit.website,,,,,,brands
cms.blog.create,,,,,,cms
cms.blog.delete,,,,,,cms
cms.blog.edit,,,,,,cms
cms.blog.edit.content,,,,,,cms
cms.blog.edit.slug,,,,,,cms
cms.blog.edit.title,,,,,,cms
cms.blog.publish,,,,,,cms
cms.blog.view,,,,,,cms
cms.create,,,,,,cms
cms.delete,,,,,,cms
cms.edit,,,,,,cms
cms.edit.content,,,,,,cms
cms.edit.key,,,,,,cms
cms.edit.status,,,,,,cms
cms.edit.title,,,,,,cms
cms.view,,,,,,cms
coach.attendance.view,,,,Allow,,coach
coach.revenue.view,,,,Allow,,coach
coach.statistics.view,,,,Allow,,coach
coaches.apply,,,,Allow,,coaches
coaches.approve,Allow,,,,,coaches
coaches.assign,Allow,,,,,coaches
coaches.availability.manage,,,,Allow,,coaches
coaches.book,,,,Allow,,coaches
coaches.book.coach,,,,Allow,,coaches
coaches.book.date,,,,Allow,,coaches
coaches.book.duration,,,,Allow,,coaches
